ARTIST,LABEL,MEDIA,GENRE,COMMENT,GENERAL INFO,CONDITION
"CORTEZ, Dave ""Baby""",EMIT,Singles: 7-inch,Instrumental,"B-side= ""Hey-Hey-Hey."" Good guitar.","301 ""Fiesta"" ",Near Mint
CRESCENDOS,NU-SOUND,Singles: 7-inch,Instrumental,"Nice guitar. B-side= ""Sweet Talk."" ","1014 ""Movin' Wild"" ",Very Good +
"DAKUS, Wes",SWAN,Singles: 7-inch,Instrumental,"Very nice guitar. B-side= ""Sour Biscuits.""","4206 ""Las Vegas Scene"" ",Mint
"DE ROSA, Frank",DOT,Singles: 7-inch,Instrumental,"B-side= ""Irish Rock."" Small sticker on label.","15696 ""Big Guitar"" ",Very Good
"DECEMBER, Bobby",ORCHESTRA,Singles: 7-inch,Instrumental,"B-side= ""Invasion."" Bobby December and the Famous Renegades. Guitar instrumental. Sleeve is autographed by Bobby December.","100 ""Bye Bye  Baby"" ",Mint
"DE KNIGHT, Jimmy, & His Knights Of Rhythm",PEAK,Singles: 7-inch,Instrumental,"B-side= ""Rock Around The Clock Cha Cha."" Hairline crack that does not affect play at all.","105 ""Rock Around the  Clock"" First issue.",Very Good
DIXIE FLIERS,GUYDEN,Singles: 7-inch,Instrumental,"DJ copy. Great guitar. B-side= ""Dynamo.""","2055 ""Nail It"" ",Mint
DIXIE FLIERS,GUYDEN,Singles: 7-inch,Instrumental,"DJ copy. Great guitar. B-side= ""Dynamo.""","2055 ""Nail It"" ",Mint
"JOHNSON, Laurie, Orchestra",COLPIX,Singles: 7-inch,Instrumental,"B-side= ""Love That Bomb."" [InstB2]","723 ""Theme from Dr.  Strangelove"" ",Very Good ++
DODGERS,TOP RANK,Singles: 7-inch,Instrumental,"Great guitar instrumental. B-side= ""Sand And Sea."" ","2021 ""Upturn"" White label. Promotional issue only.",Very Good
"COUNTRYMAN, Freddy",W-E-D,Singles: 7-inch,Instrumental,"With ""Twist"" on one side of the label and ""Stomp"" on the other side. B-side= ""The Raven."" Two great guitar instrumentals.","23 ""Back Up and Push"" Has ""TWIST"" on label.",Very Good
CREW,BRASS,Singles: 7-inch,Instrumental,"Hot guitars. B-side= ""The Big Junk."" Distributed by London Records, Inc."" on label.","2900 ""Hot Wire"" White label. Promotional issue only.)(713 ""Flight 889""",Very Good +
CYCLONES / Bob Williams & Cyclones,TROPHY,Singles: 7-inch,Instrumental,Sticker on one side of label.,"503 ""Aftermath""/""You Can't Make Me  Cry"" ",Very Good
DAWNBEATS,AMP,Singles: 7-inch,Instrumental,"B-side= ""Drifting."" ","792 ""Midnight Express"" ",Very Good
"DEE, Billy",WESTFORD,Singles: 7-inch,Instrumental,"DJ copy. B-side= ""Sweetheart Jubilee."" Guitar instrumental.","101 ""Curb Service"" ",Very Good +
DELANCEYS,ABC-PAR,Singles: 7-inch,Instrumental,"DJ copy. B-side= ""The Scratch."" Guitar instrumental.","10353 ""High Voltage"" ",Very Good
DEMONS,UNART,Singles: 7-inch,Instrumental,"DJ copy. Great sax rocker. B-side= ""Tadpole.""","2002 ""Doo Doo Dah"" ",Near Mint
"DIXON, Dick, & Roommates",KAPP,Singles: 7-inch,Instrumental,"DJ copy. Great moody guitar instrumental. B-side= ""Be Good, Be Good, Be Good.""","292 ""Caterpillar Crawl"" ",Very Good ++
DYNATONES,BOMARC,Singles: 7-inch,Instrumental,"Guitar instrumental. B-side= ""The Girl I'm Searching For.""","303 ""Steel Guitar Rag"" ",Very Good +
DYNATONES,BOMARC,Singles: 7-inch,Instrumental,"Guitar instrumental. B-side= ""Hawaiian War Chant."" Sticker on one side of label.","305 ""Moon Shot"" ",Near Mint
"DOGGETT, Bill",W.B.,Singles: 7-inch,Instrumental,"Warner Bros. 5181. ""The Hully Gully Twist"" and ""Jackrabbit.""", ,Very Good
"EDDY, Duane",FORD,Singles: 7-inch,Instrumental,"Duane Eddy and His Rock-A-Billies. Killer guitar instrumental. B-side= ""Caravan.""","500 ""Ramrod"" Credits Duane Eddy, but is by Al Casey.",Very Good
"ETHIER, Ray",MERCURY,Singles: 7-inch,Instrumental,"DJ copy. B-side= ""President's Walk.""","71518 ""Slave Girl"" ",Very Good
FAYROS,RCA,Singles: 7-inch,Instrumental,"B-side= ""Boot Heel Rag."" With original RCA sleeve.","47-7914 ""Skokiaan"" ",Very Good +
"FENDER ""GUITAR"" SLIM",ENRICA,Singles: 7-inch,Instrumental,"Great guitar. B-side= ""Tender Rock.""","1006 ""Atomic Blues"" ",Mint
FIREBALLS,TOP RANK,Singles: 7-inch,Instrumental,"B-side is the classic ""Chief Whoopin-Koff.""","2054 ""Vaquero"" ",Mint
FIREBALLS,TOP RANK,Singles: 7-inch,Instrumental,"B-side= ""Yacky Doo.""","3003 ""Rik-A-Tik"" ",Mint
FIREBALLS,WARWICK,Singles: 7-inch,Instrumental,"B-side= ""Gunshot.""","644 ""Quite a Party"" ",Very Good ++
"FLINT, Jimmy, & Stones",W.B.,Singles: 7-inch,Instrumental,"Great B-side guitar instrumental ""Piasano.""","5236 ""Have You Been  There"" ",Very Good ++
FOUR CHALLENGERS,IDEAL,Singles: 7-inch,Instrumental,"Excellent guitar. B-side= ""Love Me When You Can.""","11111 ""Rayburn Street"" ",Near Mint
FRANTICS,DOLTON,Singles: 7-inch,Instrumental,Great guitar song. With original Dolton sleeve.,"16 ""Werewolf""/""No  Werewolf"" ",Near Mint
FRANTICS,DOLTON,Singles: 7-inch,Instrumental,"B-side= ""Trees.""","33 ""San Antonio Rose"" ",Very Good
GEE CEES,CREST,Singles: 7-inch,Instrumental,"This is the earlier 1961 release with the song title ""Buzz Saw."" Hot guitar. Glen Campbell is on A-side: Eddie Cochran is on B-side.","1088 ""Buzz Saw Twist""/""Annie Had a  Party"" Glen Campbell plays guitar on Buzz Saw Twist. Eddie Cochran plays on Annie Had a Party, first issued as Annie Has a Party, by the Kelly Four.",Near Mint
"GIBSON, Johnny",BIG TOP,Singles: 7-inch,Instrumental,"X on one side of label. B-side= ""Chuck-A-Luck.""","3088 ""Midnight"" ",Very Good
"GOMEZ, Johnny Ray, & U-Neeks",APPLAUSE,Singles: 7-inch,Instrumental,"B-side= ""Our Love Is Over.""","1000 ""Romp Out"" ",Near Mint
"HASKELL, Jimmie",IMPERIAL,Singles: 7-inch,Instrumental,"Imperial 5480. ""Astrosonic"" and ""Rockin' In The Orbit.""", ,Very Good +
"HOOKER, Earl / Junior Wells",CHIEF,Singles: 7-inch,Instrumental,"Cool blues instrumental. Cool label! B-side= ""Galloping Horses A Lazy Mule.""","7016 ""Blues in D Natural"" ",Very Good
HOT-TODDYS,SHAN-TODD,Singles: 7-inch,Instrumental,"B-side= ""Shakin' And Stompin'.""","0056 ""Rockin'  Crickets"" First issue. Reads ""Featuring Bill Pennell.""",Very Good
INTRUDERS,FAME,Singles: 7-inch,Instrumental,"Good guitar instrumental. B-side= ""Jefferie's Rock.""","101 ""Fried Eggs"" ",Near Mint
"ISLE, Ronnie",MGM,Singles: 7-inch,Instrumental,"DJ copy. B-side= ""Wicked."" With The Blisters.","12682 ""Bad Sunburn"" ",Mint
JAGUARS,EPIC,Singles: 7-inch,Instrumental,"B-side= ""Roundabout."" Two great guitar instrumentals. ","9308 ""Jaguar"" ",Near Mint
"JANES, Roland",JUDD,Singles: 7-inch,Instrumental,"Legendary guitar player. B-side= ""Patriotic Guitar.""","1012 ""Guitarville"" ",Very Good
"JENKINS, Johnny",ATLANTIC,Singles: 7-inch,Instrumental,"Sticker on one side of label. B-side= ""Pinetop.""","2144 ""Love Twist"" ",Very Good
"JESTER, Charlie",LANAR,Singles: 7-inch,Instrumental,"Sax instrumental with a killer guitar break. B-side= ""Sincerely Your Friend.""","102 ""Crazy Baby"" ",Very Good ++
JOHNNY & HURRICANES,WARWICK,Singles: 7-inch,Instrumental,"B-side= ""Lazy."" ","502 ""Crossfire"" ""Warwick"" in sans-serif, or block style print.",Near Mint
JOHNNY & HURRICANES,WARWICK,Singles: 7-inch,Instrumental,"B-side= ""Buckeye.""","509 ""Red River Rock Monaural.",Very Good +
JOHNNY & HURRICANES,WARWICK,Singles: 7-inch,Instrumental,"B-side= ""Time Bomb.""","513 ""Reveille Rock Monaural.",Very Good +
JOHNNY & HURRICANES,WARWICK,Singles: 7-inch,Instrumental,"B-side= ""Sand Storm.""","520 ""Beatnik Fly"" ""Warwick"" in serif style print.",Very Good ++
JOHNNY & HURRICANES,BIG TOP,Singles: 7-inch,Instrumental,"B-side= ""Sheba.""","3036 ""Down Yonder"" ",Mint
JOHNNY & HURRICANES,BIG TOP,Singles: 7-inch,Instrumental,"B-side= ""Revival.""","3051 ""Rocking Goose"" ",Near Mint
JOHNNY & HURRICANES,BIG TOP,Singles: 7-inch,Instrumental,"B-side= ""Mr. Lonely.""","3063 ""Ja-Da"" ",Mint
JOHNNY & HURRICANES,BIG TOP,Singles: 7-inch,Instrumental,"B-side= ""High Voltage."" Nice guitar break!","3076 ""Old Smokie"" ",Near Mint
"JOHNSON, Candy",CANJO,Singles: 7-inch,Instrumental,"Good guitar instrumental. B-side= ""Ooh Poo Paa Doo."" This is the Candy Johnson of the Bikini Beach movies.","101 ""The Hook"" ",Very Good
"JORDAN, Ron, & Volcanoes",FREDLO,Singles: 7-inch,Instrumental,"""Chimay"" is a killer guitar instrumental.","6009 ""By My Side"" ",Very Good
"KAMIN, Norb",ERRO,Singles: 7-inch,Instrumental,Rare guitar instrumental.,"203/204 ""The Night Rider""/""Pick and Shuffle"" ",Mint
KEETIE & KATS,HURON,Singles: 7-inch,Instrumental,"Guitar instrumental. B-side= ""Crossties.""","22007 ""Way Out"" ",Mint
KELLY FOUR,SILVER,Singles: 7-inch,Instrumental,"DJ copy. Eddie Cochran plays guitar. B-side= ""Guybo.""","1001 ""Strollin' Guitar"" Features Eddie Cochran. Also issued as by Jewel & Eddie.",Very Good ++
KNIGHTS,RED FEATHER,Singles: 7-inch,Instrumental,"Neat two-sided guitar instrumental. B-side= ""Precision."" One side VG++, the other VG+.","18401 ""Cut Out"" ",Very Good +
"LANHAM, Roy",RADIO,Singles: 7-inch,Instrumental,"Guitar and sax rocker. B-side= ""Middle Of A Dream."" ","109 ""Boys Out of School"" ",Mint
LITTLE RED RYDERS,LANJO,Singles: 7-inch,Instrumental,"Hot guitar instrumentals. B-side= ""Hot Tamalie.""","7782 ""Juice"" ",Mint
MAGIC SLIM & TEARDROPS,JA-WES,Singles: 7-inch,Instrumental,"B-side= ""Scuffling.""","0105 ""Love My Baby"" ",Very Good
"MAPHIS, Joe",COLUMBIA,Singles: 7-inch,Instrumental,"Columbia 41353. ""Short Recess"" and ""Moonshot.""",41353 thru 41579 ,Very Good
"MAPHIS, Joe",REPUBLIC,Singles: 7-inch,Instrumental,"B-side= ""Black Sombrero.""","2006 ""Water Baby  Boogie"" ",Near Mint
MARTINIS,BAR,Singles: 7-inch,Instrumental,"Great guitar instrumental. B-side= ""Late Late Party."" Small cut-out hole. Northern Soul.","101 ""Hung Over"" ",Near Mint
MEGATONS,CHECKER,Singles: 7-inch,Instrumental,"DJ copy. B-side= ""Shimmy, Shimmy Walk, Part 2.""","1005 ""Shimmy, Shimmy  Walk"" ",Very Good
MEGATONS,DODGE,Singles: 7-inch,Instrumental,"B-side= ""Shimmy, Shimmy Walk, Part 2.""","808 ""Shimmy, Shimmy  Walk"" ",Very Good
"MITCHELL, Willie",HI,Singles: 7-inch,Instrumental,"Hi 2075. ""20-75"" and ""Secret Home.""",2044 thru 2140 ,Very Good +
MONTEREYS,T-HEE,Singles: 7-inch,Instrumental,"Wild and great guitar. Recorded live. B-side= ""Avant De Beaucoup.""","700/1 ""Bo-Did-It"" ",Mint
"MOORE, Cecil",ATCO,Singles: 7-inch,Instrumental,"DJ copy. Nice guitar instrumental. B-side= ""Rise & Shine.""","6309 ""Diamond Back"" ",Very Good ++
"MOORE, Cecil",SARG,Singles: 7-inch,Instrumental,"Nice guitar instrumental. B-side= ""Rise & Shine."" ","206 ""Diamond Back"" ",Very Good +
"MOORE, Cecil",SARG,Singles: 7-inch,Instrumental,"Fabulous guitar instrumental. B-side= ""Duck Walk.""","211 ""Stormy"" ",Near Mint
MUS-TWANGS,NERO,Singles: 7-inch,Instrumental,"Guitar instrumental. B-side= ""Roch Lomond."" Early Paul Cotton of Poco on guitar!","1-61 ""Marie"" First issue.",Very Good
NIGHT HAWKS,ALON,Singles: 7-inch,Instrumental,"DJ copy. Great guitar. B-side= ""Your Somethin' Else.""","9001 ""Rockin' Hawk"" ",Very Good
ORIGINALS,VAN,Singles: 7-inch,Instrumental,"Great guitar break! B-side= ""Lucille.""","01464 ""Scatter-Shot"" ",Very Good
OUTLAWS,DOT,Singles: 7-inch,Instrumental,"Great surfy guitar instrumental. B-side= ""Somethin' Else."" Writing on one side of label.","16512 ""Hold Up"" ",Very Good ++
"PAUL, Les",DECCA,Singles: 7-inch,Instrumental,"Decca 29013. ""Guitar Boogie"" and ""Steel Guitar Rag."" With original Decca sleeve.", ,Very Good +
"PIERCE, Alan, & Tone Kings",CHALLENGE,Singles: 7-inch,Instrumental,"DJ copy. X on one side of label. B-side= ""The Growl.""","59093 ""Swamp  Water"" ",Near Mint
RAIDERS,LIBERTY,Singles: 7-inch,Instrumental,"DJ copy. B-side= ""Dardanella.""","55393 ""What Time Is It"" ",Very Good +
RANGERS,FTP,Singles: 7-inch,Instrumental,"","404 ""Riders in the Sky""/""Four on the Floor"" Though not credited, the A-side is by the Ramrods.",Very Good +
REBELS,MARLEE,Singles: 7-inch,Instrumental,"B-side= ""Wild Weekend Cha Cha.""","0094 ""Wild Weekend"" ""Marlee"" is one word. Reads ""Shantodd Pub.""",Near Mint
REBELS,SWAN,Singles: 7-inch,Instrumental,"B-side= ""Wild Weekend Cha-Cha.""","4125 ""Wild Weekend"" White label with black print.",Very Good +
ROCKIN' REBELS,SWAN,Singles: 7-inch,Instrumental,"","4125 ""Wild Weekend"" White and red label. Has song titles in quotes.",Very Good
ROCKIN' REBELS,SWAN,Singles: 7-inch,Instrumental,"B-side= ""Hully Gully Rock.""","4140 ""Rockin' Crickets"" Previously issued by the Hot-Toddys, but with a different B-side. This one, ""Hully Gully Rock"" is actually played by the Jesters.",Near Mint
RENAULTS,BRYTE,Singles: 7-inch,Instrumental,"B-side= ""March To Eternity."" Frantic!","306 ""Rockin' with Joe"" ",Very Good
"REYNOLDS, Wesley",BISMARK,Singles: 7-inch,Instrumental,"Killer guitar instrumental. B-side= ""219-84th Street.""","1001 ""Say There"" ",Mint
RHYTHM ROCKERS,GOLDEN CREST,Singles: 7-inch,Instrumental,"Label has picture of the band on it. Tape on one side of label. B-side= ""Terock.""","535 ""Slide"" ",Very Good +
RINGOS,HI,Singles: 7-inch,Instrumental,"DJ copy. Great guitar. B-side= ""Blue Feeling.""","2071 ""Ain't No Big Thing"" ",Near Mint
ROCKIN' R's,TEMPUS,Singles: 7-inch,Instrumental,"Label tear on one side. Tape on the other side. B-side= ""Nameless.""","1507 ""Heat"" ",Very Good
ROCKIN' R's,VEE-JAY,Singles: 7-inch,Instrumental,"B-side= ""The Mix.""","346 ""Hum Bug"" ",Very Good +
RUNABOUTS,KEM,Singles: 7-inch,Instrumental,"Great moody guitar instrumental. Sticker on both sides of label. B-side= ""After Effects.""","2766 ""Lobo"" ",Near Mint
ROUND ROBIN,DOMAIN,Singles: 7-inch,Instrumental,"Domain 1405. DJ copy. ""8069 Vineland"" and ""Roundest Of Them All.""", ,Very Good
RUNABOUTS,COLUMBIA,Singles: 7-inch,Instrumental,"DJ copy. Columbia 42308. ""Charleston Twist"" and ""Rolling Wheels.""  Water damage on one side of label.",42200 thru 42308 ,Very Good
SANTO & JOHNNY,CANADIAN AMERICAN,Singles: 7-inch,Instrumental,"Classic. B-side= ""All Night Diner.""  With original Canadian American sleeve.","103 ""Sleep  Walk"" ",Very Good ++
SANTO & JOHNNY,CANADIAN AMERICAN,Singles: 7-inch,Instrumental,"","103 ""Sleep  Walk"" ",Very Good
SANTO & JOHNNY,CANADIAN AMERICAN,Singles: 7-inch,Instrumental,"B-side= ""The Long Walk Home.""","107 ""Tear  Drop"" ",Mint
SANTO & JOHNNY,CANADIAN AMERICAN,Singles: 7-inch,Instrumental,"B-side= ""The Long Walk Home."" Small sticker on one side of label.","107 ""Tear  Drop"" ",Very Good
SANTO & JOHNNY,CANADIAN AMERICAN,Singles: 7-inch,Instrumental,"Canadian American 111. ""Caravan"" and ""Summertime.""",111 thru  131 ,Mint
SANTO & JOHNNY,CANADIAN AMERICAN,Singles: 7-inch,Instrumental,"Canadian American 115. ""Lazy Day"" and ""The Breeze And I.""",111 thru  131 ,Mint
SANTO & JOHNNY,CANADIAN AMERICAN,Singles: 7-inch,Instrumental,"Canadian-American 115. ""Lazy Day"" and ""The Breeze And I."" Small sticker on one side of label.",111 thru  131 ,Very Good
SANTO & JOHNNY,CANADIAN AMERICAN,Singles: 7-inch,Instrumental,"Canadian American 118. ""Love Lost"" and ""Annie.""",111 thru  131 ,Mint
SANTO & JOHNNY,CANADIAN AMERICAN,Singles: 7-inch,Instrumental,"Canadian American 120. ""Twistin' Bells"" and Bullseye.""",111 thru  131 ,Mint
SANTO & JOHNNY,CANADIAN AMERICAN,Picture Sleeves,Instrumental,"Canadian American 120. ""Twistin' Bells"" and ""Bullseye.""", ,Mint
SANTO & JOHNNY,CANADIAN AMERICAN,Singles: 7-inch,Instrumental,"Canadian American 124. ""Hop Scotch"" and ""Sea Shell.""",111 thru  131 ,Mint
SANTO & JOHNNY,CANADIAN AMERICAN,Singles: 7-inch,Instrumental,"DJ copy. Canadian American 128. ""Theme From Come September"" and ""The Long Walk Home.""",111 thru  131 ,Very Good +
SANTO & JOHNNY,CANADIAN AMERICAN,Singles: 7-inch,Instrumental,"DJ copy. Canadian American 131. ""The Mouse"" and ""Birmingham."" Writing on both sides of label.",111 thru  131 ,Very Good ++
SANTO & JOHNNY / Linda Scott,CANADIAN AMERICAN,Singles: 7-inch,Instrumental,"","132 ""Twistin' Bells""/ ""Christmas Day"" ",Very Good
SANTO & JOHNNY,CANADIAN AMERICAN,Singles: 7-inch,Instrumental,"DJ copy. Canadian American 137. ""Spanish Harlem"" and ""Stage To Cimarron.""",137 thru  204 ,Mint
SANTO & JOHNNY,CANADIAN AMERICAN,Singles: 7-inch,Instrumental,"DJ copy. Canadian American 141. ""Three Caballeros"" and ""Step Aside."" Writing on both sides of label.",137 thru  204 ,Very Good +
SANTO & JOHNNY,CANADIAN AMERICAN,Singles: 7-inch,Instrumental,"Canadian American 151. ""On Your Mark"" and ""Manhattan.""",137 thru  204 ,Very Good +
SANTO & JOHNNY,CANADIAN AMERICAN,Singles: 7-inch,Instrumental,"DJ copy. Canadian American 164. ""I'll Remember (In The Still Of The Night)"" on both sides.",137 thru  204 ,Near Mint
SANTO & JOHNNY,CANADIAN AMERICAN,Picture Sleeves,Instrumental,"Canadian American 164. ""I'll Remember (In The Still Of The Night).""", ,Mint
SANTO & JOHNNY,CANADIAN AMERICAN,Singles: 7-inch,Instrumental,"Canadian American 164. ""I'll Remember (In The Still Of The Night"" and ""Song For Rosemary.""",137 thru  204 ,Near Mint
SANTO & JOHNNY,CANADIAN AMERICAN,Singles: 7-inch,Instrumental,"Canadian American 167. ""A Thousand Miles Away"" and ""Road Block.""",137 thru  204 ,Mint
SANTO & JOHNNY,CANADIAN AMERICAN,Picture Sleeves,Instrumental,"Canadian American 167. ""A Thousand Miles Away"" and ""Road Block.""", ,Mint
SANTO & JOHNNY,CANADIAN AMERICAN,Singles: 7-inch,Instrumental,"Canadian American 167. ""A Thousand Miles Away"" and ""Road Block.""",137 thru  204 ,Very Good
SHADOWS,ATLANTIC,Singles: 7-inch,Instrumental,"DJ copy. Atlantic 2135. ""Kon Tiki"" and ""Man Of Mystery.""", ,Very Good
SHADOWS,ATLANTIC,Singles: 7-inch,Instrumental,"Atlantic 2146. ""Wonderful Land"" and ""Stars Fell On Stockton.""", ,Mint
SHADOWS,ATLANTIC,Singles: 7-inch,Instrumental,"DJ copy. Atlantic 2177. ""The Rumble"" and ""Dance On.""", ,Mint
SHADOWS,ATLANTIC,Singles: 7-inch,Instrumental,"Atlantic 2235. ""Theme For Young Lovers"" and ""The Rise And Fall Of Flingel Blunt.""", ,Very Good +
SHADOWS,ATLANTIC,Singles: 7-inch,Instrumental,"DJ copy. Atlantic 2257. ""Rhythm & Greens"" and ""The Miracle.""", ,Very Good ++
SHADES,SMART,Singles: 7-inch,Instrumental,"Good guitar instrumental. B-side= ""Joe's Shuffle."" Sticker on one side of label.","322 ""Weird Walk"" First issue.",Very Good +
"SHAVER, Elliot",ZAN-DAN,Singles: 7-inch,Northern Soul,"Zan-Dan 302. Good guitar. ""Rock My Soul"" and ""Butter Beans."" Tape stain on one side of label.", ,Very Good ++
SHADES / Shades Featuring Lee Cook,SCOTTIE,Singles: 7-inch,Instrumental,"","1309 ""Splashin' ""/""Strollin' After   Dark"" ",Very Good
"SMITH, Bill",LE BILL,Singles: 7-inch,Instrumental,"X on both sides of label. B-side= ""Anastasia.""","303 ""Tough"" Reads ""Dist. by Roulette Records.""",Very Good ++
"SMITH, Eddie",REL,Singles: 7-inch,Instrumental,"Killer guitar instrumental. B-side= ""Upturn.""","601 ""Border Beat"" ",Mint
SPORTSMEN,A,Singles: 7-inch,Instrumental,"Killer surf instrumental. B-side= ""Sand Storm.""","104 ""Dreaming"" ",Near Mint
SOUL RUNNERS,MO SOUL,Singles: 7-inch,Instrumental,"Killer Soul instrumental. B-side= ""Spreadin' Honey.""","101 ""Grits n'  Cornbread"" ",Good
SPINNERS,CRYSTALETTE,Singles: 7-inch,Instrumental,"DJ copy. B-side= ""Slave Chain."" Good surf guitar instrumental, first issue.","736  ""Boomerang"" Reissued as Surf Stomp, by the Crestriders and as The Lion, by Duke Mitchell.",Very Good +
STARLIGHTERS,WHEEL,Singles: 7-inch,Instrumental,"","1004 ""Creepin' ""/""Hot   Licks"" ",Very Good ++
"STARR, Jerry",ZYNN,Singles: 7-inch,Instrumental,"Guitar instrumental. B-side= ""Honest I Do.""","1012 ""Side Steppin"" ",Very Good ++
"STEWART, Bob",ARGO,Singles: 7-inch,Instrumental,"B-side= ""Frankie And Johnny.""","5374 ""Cold Cold Heart"" ",Near Mint
STRANGERS,TITAN,Singles: 7-inch,Instrumental,"Writing on both sides of label. Yellow label. B-side= ""Rockin' Rebel.""","1701 ""Caterpillar Crawl"" ",Very Good
STRANGERS,TITAN,Singles: 7-inch,Instrumental,"Red label. B-side= ""Rockin' Rebel.""","1701 ""Caterpillar Crawl"" ",Very Good
STARFIRES,SONIC,Singles: 7-inch,Instrumental,"X on one side of label. Great guitar surf instrumental. B-side= ""Hand Full Of Blood.""","7163 ""Re-Entry"" ",Very Good
STORMS,SUNDOWN,Singles: 7-inch,Instrumental,Sticker on one side of label.,"114 ""Thunder""/  ""Tarantula"" Both sides were rerecorded in 1961 [Indigo 127] as by Jody Reynolds & the Storms.",Near Mint
TEDDY & ROUGH RIDERS,TILT,Singles: 7-inch,Instrumental,Hot Instrumental.,"778 ""Tomahawk""/""Thunder  Head"" ",Very Good
TEEN BEATS,ORIGINAL SOUND,Singles: 7-inch,Instrumental,"B-side= ""Califf Boogie.""","07 ""Slop  Beat"" ",Near Mint
TEMPOS,HI-Q,Singles: 7-inch,Instrumental,"B-side= ""Sham-Rock.""","100 ""It's Tough"" ",Very Good
THEE MIDNITERS,CHATTAHOOCHEE,Singles: 7-inch,Instrumental,"Sticker and label damage on one side. B-side= ""Evil Love.""","684 ""Whittier  Boulevard"" ",Very Good
LENNY & THUNDERTONES,DOT,Singles: 7-inch,Instrumental,"B-side= ""Jungle Fever."" With original Dot sleeve.","16137 ""Hot Ice"" ",Mint
TIARAS,ALLIANCE,Singles: 7-inch,Instrumental,"B-side= ""Red Sails In The Sunset.""","1934 ""Mexican Rock"" ",Mint
TIARAS,ALLIANCE,Singles: 7-inch,Instrumental,"B-side= ""Red Sails In The Sunset."" Numbers written on one side of label.","1934 ""Mexican Rock"" ",Very Good +
"TORTILLA, Pete",IMPERIAL,Singles: 7-inch,Instrumental,"B-side= ""Corrido Rock, Part 2."" Small sticker on one side of label.","5502 ""Corrido Rock"" ",Very Good
TRIUMPHS,VOLT,Singles: 7-inch,Instrumental,"B-side= ""Raw Dough."" Two stickers on one side of label. Good guitar. Member: Booker T.","100 ""Burnt Biscuits"" ",Very Good
TUNE ROCKERS,PET,Singles: 7-inch,Instrumental,"B-side= ""Easy Does It."" Small sticker on one side of label.","804 ""No Stoppin' This  Boppin' "" ",Very Good
TUNE ROCKERS,U.A.,Singles: 7-inch,Instrumental,"B-side= ""Warm Up."" Small sticker on one side of label.","139 ""Green Mosquito"" ",Very Good
"TURMAN, Don",HART,Singles: 7-inch,Instrumental,"B-side= ""Lee Bella."" Good guitar instrumental. Both sides. With the Vibra Sonics.","101 ""Rock & Roll Blues"" ",Very Good ++
VENTURES,DOLTON,Singles: 7-inch,Instrumental,"","25 ""Walk  Don't Run""/  ""Home"" ",Very Good ++
VENTURES,DOLTON,Singles: 7-inch,Instrumental,"B-side= ""Lonely Heart.""","32 ""Ram-Bunk-Shush"" ",Mint
VENTURES,DOLTON,Singles: 7-inch,Instrumental,"B-side= ""Bluer Than Blue.""","44 ""Silver City"" ",Very Good +
VENTURES,DOLTON,Singles: 7-inch,Instrumental,"B-side= ""Bluer Than Blue."" Numbers written on one side of label.","44 ""Silver City"" White label. Promotional issue only.",Very Good +
VENTURES,DOLTON,Singles: 7-inch,Instrumental,"B-side= ""Genesis."" Small sticker stain on one side of label.","50 ""Yellow Jacket"" ",Very Good ++
VENTURES,DOLTON,Singles: 7-inch,Instrumental,"White label promo copy. B-side= ""My Bonnie Lies.""","55 ""Instant Mashed"" ",Near Mint
VENTURES,DOLTON,Singles: 7-inch,Instrumental,With original Dolton sleeve.,"67 ""2,000 Pound Bee,  Pt. 2"" ",Near Mint
VENTURES,DOLTON,Singles: 7-inch,Instrumental,"White label promo copy. B-side= ""Walkin' With Pluto."" Two X's and numbers on one side of label. Small sticker on the other side of label. With original Dolton sleeve.","91 ""Journey to the Stars"" ",Near Mint
VENTURES,DOLTON,Singles: 7-inch,Instrumental,"B-side= ""Lonely Girl."" Killer guitar. With original Dolton sleeve.","303 ""Diamond Head"" ",Very Good
VENTURES,DOLTON,Singles: 7-inch,Instrumental,"Dolton 306. ""Pedal Pusher"" and ""The Swingin' Creeper."" Two numbers written on one side of label.",300 thru 327 White label. Promotional issues only.,Very Good
VENTURES,DOLTON,Singles: 7-inch,Instrumental,"Dolton 308. ""Bird Rockers"" and ""Ten Seconds To Heaven."" Two X's on one side of label.",300 thru 327 White label. Promotional issues only.,Very Good
VENTURES,DOLTON,Singles: 7-inch,Instrumental,"B-side= ""Comin' Home Baby."" ","320 ""Blue Star"" ",Near Mint
VICEROYS,BETHLEHEM,Singles: 7-inch,Instrumental,"Vinyl is NM, but labels are water damaged on both sides. B-side= ""The Fox.""","3070 ""Buzz Bomb"" ",Very Good +
WAILERS,GOLDEN CREST,Singles: 7-inch,Instrumental,"","518 ""Tall Cool  One"" Label pictures the group.",Near Mint
"WALKER, Junior",SOUL,Singles: 7-inch,Instrumental,"B-side= ""Hot Cha."" Soul.","35008 ""Shot Gun"" Title is two words and credit reads: ""Jr. Walker & All the Stars""",Very Good +
"WAMMACK, Travis",ARA,Singles: 7-inch,Instrumental,"B-side= ""Two Little Love Birds."" ","210 ""Don't Cry No More"" ",Mint
"WAMMACK, Travis",ATLANTIC,Singles: 7-inch,Instrumental,"White label promo copy. B-side= ""Upset.""","2322 ""Louie Louie"" ",Mint
