ARTIST,LABEL,MEDIA,GENRE,COMMENT,GENERAL INFO,CONDITION
"DYLAN, Bob",COLUMBIA,Singles: 7-inch,Rock,"B-side= ""Turkey Chase.""","45913 ""Knockin' on Heaven's Door"" ",Very Good +
"DYLAN, Bob",COLUMBIA,Promotional Singles,Rock,"","43592 ""Rainy Day Women #12 and 35"" Red vinyl.",Very Good ++
"DYLAN, Bob",COLUMBIA,Picture Sleeves,Rock,"","02510 ""Heart of Mine"" ",Very Good +
"DYLAN, Bob",COLUMBIA,Singles: 7-inch,Rock,"B-side= ""Just Like Tom Thumb's Blues."" [RockB2]","43683 ""I Want You"" ",Very Good
"DYLAN, Bob",COLUMBIA,Singles: 7-inch,Rock,"B-side= ""Obviously 5 Believers."" Small sticker on one side of label.","43792 ""Just Like a  Woman"" ",Very Good
"DYLAN, Bob",COLUMBIA,Singles: 7-inch,Rock,"B-side= ""From A Buick 6."" [RockB2]","43389 ""Positively 4th  Street"" Red label.",Very Good
"DYLAN, Bob",COLUMBIA,Singles: 7-inch,Rock,"B-side= ""Highway 61 Revisited."" With original Columbia sleeve.","43477 ""Can You Please Crawl Out Your Window"" ",Very Good
"DYLAN, Bob",COLUMBIA,Singles: 7-inch,Rock,"B-side= ""She Belongs To Me."" Small label tear near hole on Side A. [RockB2]","43242 ""Subterranean Homesick Blues"" Red label.",Very Good
"DYLAN, Bob",ASYLUM,Singles: 7-inch,Rock,"B-side= ""You Angel You.""","11033 ""On a Night Like  This"" ",Near Mint
"DYLAN, Bob",COLUMBIA,Singles: 7-inch,Rock,"B-side= ""Pledging My Time."" ","43592 ""Rainy Day Women #12 and 35 ",Very Good
"DYLAN, Bob",COLUMBIA,Singles: 7-inch,Rock,"B-side= ""Peggy Day.""","44926 ""Lay Lady Lay"" ",Very Good +
"DYLAN, Bob",COLUMBIA,Picture Sleeves,Rock,"","11235 ""Slow Train"" ",Near Mint
DYNAMICS,BIG TOP,Singles: 7-inch,Doo Wop,"B-side= ""I'm The Man."" With original Big Top sleeve.","3161 ""Misery"" ",Very Good ++
DYNATONES,BOMARC,Singles: 7-inch,Instrumental,"Guitar instrumental. B-side= ""The Girl I'm Searching For.""","303 ""Steel Guitar Rag"" ",Very Good +
DYNATONES,BOMARC,Singles: 7-inch,Instrumental,"Guitar instrumental. B-side= ""Hawaiian War Chant."" Sticker on one side of label.","305 ""Moon Shot"" ",Near Mint
DYNETTES,CONSTELLATION,Singles: 7-inch,Northern Soul,"B-side= ""Witness To A Heartbreak."" Small cut-out hole. {R&B}","150 ""New Guy"" ",Very Good ++
E'LITES,EGS,Singles: 7-inch,Instrumental,Great two-sided guitar instrumental! {Belding Box},"001 ""Restless"" ",Mint
EAGLES,GEFFEN,Singles: 7-inch,Rock,"B-side= ""Get Over It (Live Version).""","19376 ""Get Over It"" ",Near Mint
EAGLES,ASYLUM,Singles: 7-inch,X-mas,"Christmas record. Asylum 45555. ""Please Come Home For Christmas"" and ""Funky New Year.""", ,Near Mint
EAGLES,ASYLUM,Picture Sleeves,X-mas,Christmas record.,"45555 ""Please Come Home for Christmas"" ",Mint
EAGLES,ASYLUM,Singles: 7-inch,Rock,"Asylum 11013. ""Peaceful Easy Feeling"" and ""Trying."" Marks-a-lot on both sides of label.", White label. Promotional issues only.,Very Good
EAGLES,MERCURY,Singles: 7-inch,Doo Wop,"B-side= ""Don't You Wanna Be Mine."" Pink label.","70464 ""Such a Fool"" ",Very Good
"EAGLIN, Ford",IMPERIAL,Singles: 7-inch,Soul,"Imperial 5736. ""If I Could"" and ""Guess Who.""",5671 thru 5946 ,Near Mint
EARL-JEAN,COLPIX,Singles: 7-inch,Rock,"B-side= ""We Love And Learn.""","729 ""I'm into Somethin'  Good"" ",Very Good
EARLS,HARVEY,Promotional Singles,Doo Wop,"Red vinyl. B-side= ""A Sunday Kind Of Love.""","100 ""Teenagers Dream"" ",Near Mint
EARLS,OLD TOWN,Singles: 7-inch,Doo Wop,"B-side= ""Let's Waddle.""","1130 ""Remember  Then"" Blue label. Publisher credit is ""January Music."" Artist credit is in serif style typeface [i.e. THE EARLS",Very Good
EARLS,OLD TOWN,Singles: 7-inch,Doo Wop,"B-side= ""Oh, What A Time.""","1169 ""Ask Anybody"" ",Very Good
EARLS,ROME,Singles: 7-inch,Doo Wop,"B-side= ""Cross My Heart.""","102 ""Lookin' for My Baby"" ",Very Good
EARTH BROTHERS,HAPPY TIGER,Promotional Singles,Rock,"B-side= ""Painted Lady.""","103 ""Fantastic"" ",Very Good +
"EARTH, WIND & FIRE",COLUMBIA,Picture Sleeves,Soul,"Columbia 03375. ""Fall In Love With Me"" and ""Lady Sun.""",03375 thru 07695 ,Near Mint
"EARTH, WIND & FIRE",ARC,Promotional Singles,Soul,"","11165 ""Star"" ",Near Mint
"EASTON, Sheena",EMI AMERICA,Singles: 7-inch,Rock,"EMI America 8172. ""Telefone (Long Distance Love Affair)"" and ""Wish You Were Here Tonight."" With original EMI America sleeve.", ,Near Mint
"EASTON, Sheena",MCA,Promotional Singles,Rock,[RockB2],"53629 ""101"" ",Near Mint
EASYBEATS,U.A.,Singles: 7-inch,Rock,"B-side= ""Made My Bed, Gonna Lie In It."" With original United Artists sleeve.","50106 ""Friday on My Mind"" ",Very Good +
"EBERT, Lee",ROCKET,Singles: 7-inch,Rockabilly,"B-side= ""Tom Cat Boogie."" Tape on one side of label.","801 ""Let's Jive It"" ",Very Good +
EBONIERS,PORT,Promotional Singles,Doo Wop,"Plays VG. B-side= ""Shut Your Mouth.""","70013 ""Hand In Hand"" ",Good
ECCENTRICS,APPLAUSE,Singles: 7-inch,Rock,"B-side= ""Stars.""","1008 ""Share Me"" ",Very Good
ECHOES,COLUMBIA,Promotional Singles,Rockabilly,"B-side= ""Bye-Bye-My Baby."" With original Columbia sleeve. Sticker on one side of label.","41549 ""Do I Love You?"" ",Very Good
ECHOES,DOLTON,Singles: 7-inch,Doo Wop,"B-side= ""My Guiding Light."" Tape on one side of label. One side of label discolored.","18 ""Born to Be with  You"" ",Very Good
ECHOES,SEG-WAY,Singles: 7-inch,Doo Wop,"B-side= ""Boomerang."" Small sticker on one side of label. [RockB2]","103 ""Baby Blue"" ",Very Good +
ECHOES / Four Esquires,ROULETTE GOLDEN GOODIES,Singles: 7-inch,Doo Wop,"Roulette Golden Goodies 4. ""Love Me Forever"" by the Esquires and ""Baby Blue"" by the Echoes. With original Roulette sleeve.", ,Near Mint
EDDIE & FREDDIE,OCTOBER,Singles: 7-inch,R&B,"B-side= ""Steady.""","1006 ""Make Like"" ",Very Good +
EDDIE & SHOWMEN,LIBERTY,Singles: 7-inch,Surf,"DJ copy. B-side= ""Lanky Bones."" Writing on both sides of label.","55695 ""Far Away   Places"" ",Very Good ++
"EDDY, Duane",RCA,Promotional Singles,Instrumental,"DJ copy. B-side= ""Theme From A Summer Place."" Tape stain on one side of label.","8376 ""Water Skiing"" ",Very Good
"EDDY, Duane",JAMIE,Singles: 7-inch,Instrumental,"B-side= ""Stalkin'."" Small sticker on one side of label. [InstB1]","1104 ""Rebel'Rouser"" Reads ""From the Production Rebel-''Rouser Starring John Buck."" Both the production and film star are fictitious.",Very Good
"EDDY, Duane",JAMIE,Singles: 7-inch,Instrumental,"Jamie 1151.  ""Shazam!"" and ""The Secret Seven.""",1144 thru 1224 ,Near Mint
"EDDY, Duane",JAMIE,Singles: 7-inch,Instrumental,"B-side= ""Three-30-Blues."" Writing on one side of label.","1122 ""Yep"" ",Very Good +
"EDDY, Duane",JAMIE,Singles: 7-inch,Instrumental,"B-side= ""The Quiet Three.""","1126 ""Forty Miles of Bad  Road"" Monaural.)(1126 ""Forty Miles of Bad  Road"")(Stereo.",Very Good +
"EDDY, Duane",JAMIE,Singles: 7-inch,Instrumental,"B-side= ""First Love, First Tears.""","1130 ""Some Kind-a  Earthquake"" Monaural.",Near Mint
"EDDY, Duane",JAMIE,Singles: 7-inch,Instrumental,"Small sticker on one side of label. B-side= ""Detour.""","1117 ""The Lonely One"" Monaural.",Very Good ++
"EDDY, Duane",JAMIE,Singles: 7-inch,Instrumental,"B-side= ""Detour.""","1117 ""The Lonely One"" Stereo.",Near Mint
"EDDY, Duane",JAMIE,Singles: 7-inch,Instrumental,"Small sticker on one side of label. B-side= ""The Walker.""","1109 ""Ramrod"" ",Very Good +
"EDDY, Duane",JAMIE,Singles: 7-inch,Instrumental,"B-side= ""Mason-Dixon Lion."" Label discoloration on one side of label.","1111 ""Cannonball"" ",Very Good +
"EDDY, Duane",CONGRESS,Singles: 7-inch,Instrumental,"B-side= ""Put A Little Love In Your Heart.""","6010 ""Freight Train"" ",Very Good
"EDDY, Duane",ELEKTRA,Singles: 7-inch,Instrumental,"With original Elektra sleeve. B-side= ""From 8 To 7.""","45359 ""You Are My  Sunshine"" ",Near Mint
"EDDY, Duane",FORD,Singles: 7-inch,Instrumental,"Duane Eddy and His Rock-A-Billies. Killer guitar instrumental. B-side= ""Caravan.""","500 ""Ramrod"" Credits Duane Eddy, but is by Al Casey.",Very Good
"EDDY, Duane",COLPIX,Singles: 7-inch,Instrumental,"White label promo copy. B-side= ""Poppa's Movin' On.""","795 ""El Rancho Grande"" ",Near Mint
"EDDY, Duane",JAMIE,Singles: 7-inch,Instrumental,"B-side= ""Up And Down.""","1101 ""Moovin' N'   Groovin' "" Yellow label.",Very Good ++
"EDDY, Duane",JAMIE,Singles: 7-inch,Instrumental,"B-side= ""Stalkin'."" Small sticker on one side of label.","1104 ""Rebel'Rouser"" No mention of Rebel-''Rouser Production.",Very Good +
"EDDY, Duane",RCA,Singles: 7-inch,Instrumental,"RCA 7999. ""Deep In The Heart Of Texas"" and ""Saints And Sinners.""",Except 8507 ,Very Good ++
"EDDY, Duane",JAMIE,Picture Sleeves,Instrumental,"Jamie 1122. ""Yep!"" and ""Three-30-Blues.""", ,Mint
"EDDY, Duane",RCA,Picture Sleeves,Surf,"RCA Victor 8214. ""Your Baby's Gone Surfin'"" and ""Shuckin'.""", ,Very Good +
"EDDY, Duane",JAMIE,EPs: 7-inch,Instrumental,"""Cannonball"" and ""Moovin' N' Groovin'"" and ""Mason-Dixon Line"" and ""The Lonely One."" Record only.","100 ""Movin' & Groovin' "" ",Near Mint
"EDDY, Duane",REPRISE,Singles: 7-inch,Instrumental,"White label promo copy. Reprise 0557. ""Monsoon"" and ""Roarin'."" Surf sound. Writing on one side of label.", ,Very Good
"EDDY, Jim",SOMA,Singles: 7-inch,Rockabilly,"B-side= ""Something Happened.""","1091 ""Livin' Doll"" ",Very Good
"EDGAR, Jim",HAMA,Singles: 7-inch,Rockabilly,"B-side= ""Apartment # 9.""","1002 ""Hey Little Girl"" ",Very Good ++
"EDMUNDS, Dave",MAM,Singles: 7-inch,Rock,"B-side= ""Black Bill.""","3601 ""I Hear You Knocking"" Black label.",Near Mint
"EDMUNDS, Dave",COLUMBIA,Picture Sleeves,Rock,"Columbia 04762. ""Porky's Revenge!""", ,Very Good ++
"EDMUNDS, Dave",COLUMBIA,Singles: 7-inch,Rock,"Columbia 04762. ""Porky's Revenge"" and ""High School Nights.""", ,Near Mint
EDSELS,DUB,Singles: 7-inch,Doo Wop,"B-side= ""Bells."" Writing on one side of label.","2843 ""Rama Lama Ding  Dong"" Note title correction.",Very Good
EDSELS,TWIN,Singles: 7-inch,Doo Wop,"B-side= ""Bells.""","700 ""Rama Lama Ding  Dong"" Different version than on Dub.",Very Good
EDWARD BEAR,CAPITOL,Singles: 7-inch,Rock,"Capitol 3452. ""Last Song"" and ""Best Friend.""", ,Very Good +
EDWARD TWINS,TWISTIME,Singles: 7-inch,Rockabilly,"B-side= ""No More Sugartime.""","10 ""Sugartime Twist"" ",Very Good +
"EDWARDS, Gloria",DELUXE,Singles: 7-inch,Northern Soul,"DJ copy. B-side= ""Enough Of A Woman.""","138 ""Real Love"" ",Mint
"EDWARDS, Jonathan",CAPRICORN,Singles: 7-inch,Rock,"Capricorn 8021. ""Sunshine"" and ""Emma.""", ,Near Mint
"EDWARDS, Tommy",MGM,Singles: 7-inch,Rock 'n' Roll,"MGM 11326. ""You Win Again"" and ""Sinner Or Saint.""",10884 thru 11993 ,Very Good ++
"EDWARDS, Tommy",MGM,Singles: 7-inch,Rock 'n' Roll,"MGM 12688. ""It's All In The Game"" and ""Please Love Me Forever."" With original MGM sleeve.",12054 thru 12981 ,Very Good +
"EDWARDS, Vincent",RUSS-FI,Singles: 7-inch,Rockabilly,"B-side= ""Squeelin Parrot (Twist).""","7001 ""Why Did You Leave  Me"" ",Very Good ++
"EGAN, Walter",COLUMBIA,Singles: 7-inch,Rock,"Columbia 10719. ""Magnet And Steel"" and ""Tunnel O' Love."" With original Columbia sleeve.", ,Near Mint
EGYPTIAN COMBO,NORMAN,Singles: 7-inch,Instrumental,"B-side= ""Rockin' Little Egypt.""","549 ""Gale Winds"" ",Near Mint
"EHRET, Bob",ALADDIN,Singles: 7-inch,Rockabilly,"B-side= ""So Lonely.""","3377 ""Stop the Clock"" ",Near Mint
EKOS,LOAR,Singles: 7-inch,Rock,"B-side= ""This Feeling He Left."" Arranged by Ray Ruff.","1000 ""Still In Love With You Baby"" ",Near Mint
EL DORADOS,VEE-JAY,Singles: 7-inch,Doo Wop,"B-side= ""What's Buggin' You Baby.""","147 ""At My Front Door"" ",Very Good
EL DORADOS,VEE-JAY,Singles: 7-inch,Doo Wop,"B-side= ""I Began To Realize."" Small sticker on one side of label. Small tear on b-side.","165 ""I'll Be Forever Lovin'  You"" ",Very Good
EL PAULING,FEDERAL,Promotional Singles,Soul,"B-side= ""Come On Let's Have A Good Time."" {R&B}","12464 ""Send Me Somebody"" ",Very Good
ELECTRIC LIGHT ORCHESTRA,JET,Singles: 7-inch,Rock,"B-side= ""After All.""","03964 ""Rock 'N' Roll Is King"" ",Near Mint
ELECTRIC LIGHT ORCHESTRA,JET,Promotional Singles,Rock,"","02408 ""Hold On Tight"" ",Near Mint
ELECTRIC LIGHT ORCHESTRA,U.A.,Singles: 7-inch,Rock,"B-side= ""Poorboy (The Greenwood).""","1000 ""Telephone Line"" Black vinyl.",Near Mint
ELECTRIC LIGHT ORCHESTRA,U.A.,Promotional Singles,Rock,Small sticker on one side of label.,"573 ""Can't Get It Out Of My Head"" ",Very Good
ELECTRIC LIGHT ORCHESTRA,JET,Singles: 7-inch,Rock,"B-side= ""Mister Kingdom.""","1099 ""Turn to Stone"" ",Very Good
ELECTRIC LIGHT ORCHESTRA,JET,Singles: 7-inch,Rock,"B-side= ""Poorboy (The Greenwood)."" [RockB2]","XW1000 ""Telephone Line"" ",Near Mint
ELECTRIC LIGHT ORCHESTRA,MCA,Picture Sleeves,Rock,From motion picture Xanadu.,"41246 ""I'm Alive"" ",Near Mint
ELECTRIC LIGHT ORCHESTRA,JET,Picture Sleeves,Rock,[RockB2],"XW770 ""Strange Magic"" ",Very Good
ELECTRIC LIGHT ORCHESTRA,U.A.,Picture Sleeves,Rock,"","1000 ""Telephone Line"" ",Very Good +
ELECTRIC LIGHT ORCHESTRA,JET,Singles: 7-inch,Rock,"B-side= ""New World Rising."" [RockB2]","XW770 ""Strange Magic"" ",Very Good +
ELECTRIC LIGHT ORCHESTRA,JET,Singles: 7-inch,Rock,"B-side= ""Fire On High.""","1145 ""Sweet Talkin' Woman"" Purple vinyl. Promotional issue only.",Very Good ++
ELECTRIC LIGHT ORCHESTRA,JET,Singles: 7-inch,Rock,"B-side= ""Dreaming Of 4000.""","5060 ""Don't Bring Me Down"" ",Very Good
ELECTRIC LIGHT ORCHESTRA,JET,Singles: 7-inch,Rock,"B-side= ""When Time Stood Still.""","02408 ""Hold On Tight"" ",Near Mint
ELECTRIC PRUNES,REPRISE,Singles: 7-inch,Psychedelic/Garage,"B-side= ""Hideaway.""","0594 ""Dr. Do Good"" ",Near Mint
ELECTRIC PRUNES,REPRISE,Singles: 7-inch,Psychedelic/Garage,"B-side= ""Are You Lovin' Me More.""","0564 ""Get Me to the World on  Time"" ",Near Mint
ELEGANTS,APT,Singles: 7-inch,Doo Wop,"B-side= ""Getting Dizzy.""","25005 ""Little Star"" White or multi-colored label.",Very Good
ELEGANTS,APT,Singles: 7-inch,Doo Wop,"B-side= ""Getting Dizzy.""","25005 ""Little Star"" Silver print on black label. Reads: ""A Product of AM-PAR Record Corp.""",Very Good
ELEGANTS,APT,Singles: 7-inch,Doo Wop,"B-side= ""Getting Dizzy.""","25005 ""Little Star"" Silver print on black label. No mention of ABC-Paramount on label.",Very Good
ELENA MARIE,GEEBEE,Singles: 7-inch,Rock 'n' Roll,"B-side= ""Blue Mood."" Pencil mark on one side of label.","01 ""Soldier Boy"" ",Near Mint
ELGINS,V.I.P.,Singles: 7-inch,Soul,"V.I.P. 25065. ""Heaven Must Have Sent You"" and ""Stay In My Lonely Arms.""", ,Very Good
ELITE,CHARAY,Singles: 7-inch,Psychedelic/Garage,"","17 ""One Potato, Two  Potato"" ",Very Good +
"ELLEDGE, Jimmy",RCA,Singles: 7-inch,Rock 'n' Roll,"B-side= ""What A Laugh."" Sticker on one side of label.","8012 ""Can't You See It in My  Eyes"" ",Very Good
"ELLEDGE, Jimmy",RCA,Singles: 7-inch,Rock 'n' Roll,"RCA 7946. ""Funny How Time Slips Away"" and ""Hey Jimmy Joe John Jim Jack.""",Except 7910 & 8012 ,Near Mint
"ELLIMAN, Yvonne",RSO,Promotional Singles,Rock,With original RSO sleeve.,"884 ""If I Can't Have You"" ",Near Mint
ELLIS BROTHERS,ABC-PAR,Singles: 7-inch,Doo Wop,"B-side= ""Sneaky Alligator.""","9954 ""Wow! Baby"" ",Very Good
"ELLIS, Don",BEE,Promotional Singles,Rockabilly,"B-side= ""A Woman's Love.""","201 ""Party Doll"" ",Near Mint
"ELLIS, Don",BEE,Singles: 7-inch,Rockabilly,"B-side= ""Yah Yah.""","1115 ""Blue Fire"" ",Very Good +
"ELLIS, Ray, Orchestra",COLUMBIA,Singles: 7-inch,X-mas,"Christmas record. White label promo copy. Columbia 41056. ""Like Jingle Bells"" and ""Snow, Snow Beautiful Snow.""", ,Near Mint
"ELLIS, Sheila",SAN,Singles: 7-inch,Country,"B-side= ""Peace Of Mind.""","1520 ""If This Is Love"" ",Very Good
"ELLIS, Shirley",CONGRESS,Singles: 7-inch,Rock,"B-side= ""I See It, I Like It, I Want It.""","238 ""Puzzle Song"" ",Very Good ++
EMBRACEABLES,SANDY,Singles: 7-inch,Doo Wop,"Side A= VG+; Side B=VG. B-side= ""Gotta Pretty Little Baby.""","1025 ""From Someone Who Loves You"" ",Very Good +
"EMBRY, Pat",KO CO BO,Singles: 7-inch,Country,"B-side= ""How Much You Care About Me."" With the Golden Spread Cowboys. [Ctry1]","1005 ""I Love Everybody"" ",Near Mint
EMENEES,EMENEE,Singles: 7-inch,Instrumental,"VG-. Plays VG. B-side= ""The Jubilee Juke Box Jamboree Jive.""","""Rockelation Beat"" ",Very Good
"EMERSON, Billy",SUN,Singles: 7-inch,Rockabilly,"B-side= ""Move Baby Move.""","214 ""When It Rains It  Pours"" ",Mint
"EMERSON, Billy",SUN,Singles: 7-inch,Rockabilly,"B-side= ""No Greater Love.""","219 ""Red Hot"" ",Mint
"EMERSON, Billy",SUN,Singles: 7-inch,Rockabilly,"B-side= ""Something For Nothing.""","233 ""Little Fine Healthy  Thing"" ",Near Mint
"EMERSON, LAKE & PALMER",MANTICORE,Singles: 7-inch,Rock,"B-side= ""Still...You Turn Me On.""","2003 ""Brain Salad  Surgery"" Promotional issue only.",Very Good +
EMILY,CHALLENGE,Singles: 7-inch,Instrumental,"B-side= ""I've Fallen In Love With Alvin.""","59064 ""Hoppin' with  Emily"" ",Very Good
EMOTIONS,VOLT,Singles: 7-inch,Soul,"Volt 4062. ""If You Think It (You May As Well Do It)"" and ""Love Ain't Easy Onesided.""", ,Very Good
EMPEROR'S FRIEND,CURRENT,Singles: 7-inch,Pop,"B-side= ""I'm Normal."" Writing on both sides of label.","111 ""The Crossing Game""/""I'm Normal"" B-side by ""The Emperor.""",Very Good +
ENDEAVORS,STOP,Singles: 7-inch,Northern Soul,DJ copy.,"372 ""I Know You Don't Want  Me"" ",Very Good ++
"ENDSLEY, Melvin",RCA,Singles: 7-inch,Country,"B-side= ""Just Want To Be Wanted."" [RockB2]","7312 ""Gettin' Used to the  Blues"" ",Very Good
"ENGEL, Scott",ORBIT,Picture Sleeves,Rockabilly,Reverse side of Picture Sleeve has a small tear in middle of the back side of sleeve.,"512 ""Blue Bell/""Paper  Doll"" ",Very Good
"ENGEL, Scott",ORBIT,Singles: 7-inch,Rockabilly,"B-side= ""Good For Nothin'."" With the Beat By Count Dracula & the Boys.","506 ""The Livin' End"" ",Very Good ++
"ENGEL, Scott",ORBIT,Picture Sleeves,Rockabilly,"Top of sleeve has a single cut across it. Otherwise, at least VG+.","506 ""The Livin' End"" ",Very Good
"ENGEL, Scott",ORBIT,Singles: 7-inch,Rockabilly,"","512 ""Blue Bell""/""Paper  Doll"" B-side selection is No. 511.",Very Good ++
"ENGEL, Scott",ORBIT,Singles: 7-inch,Rockabilly,"B-side= ""I Don't Want To Know.""","545 ""Comin' Home"" ",Near Mint
"ENGLER, Jerry, & Four Ekkos",BRUNSWICK,Singles: 7-inch,Rockabilly,"B-side= ""Unfaithful One."" With Buddy Holly.","55037 ""Sputnik"" ",Very Good
ENGLISH HOUSE,MGM,Singles: 7-inch,Rock,"B-side= ""Is This The Way To Amarillo."" With original MGM sleeve.","14360 ""Music is the Voice of  Love"" ",Very Good ++
"EPPS, Preston",ORIGINAL SOUND,Singles: 7-inch,Instrumental,"B-side= ""Bongo Party.""","4 ""Bongo Rock"" Monaural.",Very Good
"EPPS, Preston",ORIGINAL SOUND,Singles: 7-inch,Instrumental,"B-side= ""Bongo Shuffle.""","14 ""Bongo in the  Congo"" ",Very Good +
"EPPS, Preston",TOP RANK,Singles: 7-inch,Instrumental,"B-side= ""Bongola.""","2067 ""Blue Bongo"" ",Very Good
"ERICKSON, Roky",DYNAMIC,Singles: 7-inch,Rock,"Dynamic 002. ""Starry Eyes"" and ""Don't Slander Me.""", ,Near Mint
ESCAPADES,ARBET,Singles: 7-inch,Psychedelic/Garage,"B-side= ""She's The Kind.""","1010 ""I Tell No Lies"" ",Very Good
ESQUERITA,CAPITOL,Singles: 7-inch,Rockabilly,"B-side= ""Please Come On Home."" Small sticker on B-side.","4007 ""Oh Baby"" White or yellow label. Promotional issue only.",Near Mint
ESQUIRES,BUNKY,Singles: 7-inch,Soul,"Bunky 7750. ""Get On Up"" and ""Listen To Me.""", ,Very Good
ESSEX,ROULETTE,Singles: 7-inch,Doo Wop,"Orange/Yellow label. B-side= ""Are You Going My Way."" With original Roulette sleeve.","4494 ""Easier Said Than  Done"" ",Mint
ESSEX,ROULETTE,Singles: 7-inch,Doo Wop,"Orange/Yellow label. Still sealed in original Roulette sleeve. B-side= ""Out Of Sight, Out Of Mind.""","4530 ""She's Got  Everything"" ",Mint
ETERNALS,HOLLYWOOD,Singles: 7-inch,Doo Wop,"","68/69 ""Rockin' in the Jungle""/  ""Rock 'N' Cha-Cha"" Blue label. Has label name at top.",Very Good
ETERNALS,HOLLYWOOD,Singles: 7-inch,Doo Wop,Pencil writing on one side of label. ,"68/69 ""Rockin' in the Jungle""/  ""Rock 'N' Cha-Cha"" Blue label. Has label name at bottom.",Near Mint
"ETHIER, Ray",MERCURY,Singles: 7-inch,Instrumental,"DJ copy. B-side= ""President's Walk.""","71518 ""Slave Girl"" ",Very Good
ETTA & HARVEY,CHESS,Singles: 7-inch,R&B,"B-side= ""It's A Crying Shame.""","1771 ""Spoonful"" ",Near Mint
EURYTHMICS,RCA,Promotional Singles,Rock,"","13533 ""Sweet Dreams (Are Made Of This)"" ",Near Mint
EURYTHMICS,RCA,Picture Sleeves,Rock,"RCA 13725. ""Here Comes The Rain Again.""", ,Very Good +
EURYTHMICS,RCA,Singles: 7-inch,Rock,"RCA 13533. ""Sweet Dreams (Are Made Of This)"" and ""I Could Give You (A Mirror).""", ,Near Mint
"EVANS, Barbara",RCA,Singles: 7-inch,Rock 'n' Roll,"B-side= ""Pray For Me Mother.""","7519 ""Souvenirs"" ",Near Mint
"EVANS, Don",DOME,Singles: 7-inch,Rockabilly,"B-side= ""How Long Is A Moment.""","100 ""It's So Fright'nin"" ",Near Mint
"EVANS, Paul",CARLTON,Singles: 7-inch,Rock 'n' Roll,"B-side= ""I Love To Make Love To You."" Small sticker on one side of label.","539 ""Show Folk"" ",Near Mint
"EVANS, Paul",GUARANTEED,Promotional Singles,Rock 'n' Roll,"B-side= ""Twins.""","210 ""The Brigade Of Broken Hearts"" ",Near Mint
"EVANS, Paul",CARLTON,Singles: 7-inch,Rock 'n' Roll,"B-side= ""Not Me.""","543 ""After the  Hurricane"" ",Near Mint
"EVANS, Paul",GUARANTEED,Promotional Singles,Rock 'n' Roll,"B-side= ""Worshipping An Idol.""","200 ""Seven Little Girls Sitting In The Back Seat"" ",Near Mint
"EVANS, Paul",GUARANTEED,Singles: 7-inch,Rock 'n' Roll,"B-side= ""Hushaby Little Guitar.""","213 ""Blind Boy"" ",Near Mint
"EVANS, Paul",GUARANTEED,Promotional Singles,Rock 'n' Roll,"B-side= ""Fish In The Ocean.""","208 ""Happy-Go-Lucky-Me"" ",Very Good +
"EVANS, Paul",GUARANTEED,Promotional Singles,Rock 'n' Roll,"B-side= ""Since I Met You Baby."" Small piece of tape on one side of label.","205 ""Midnite Special"" ",Good
"EVERETT, Betty",VEE-JAY,Singles: 7-inch,Soul,"B-side= ""Hands Off."" {R&B}","585 ""Shoop Shoop  Song"" ",Very Good
"EVERETT, Betty",FANTASY,Singles: 7-inch,Soul,"Fantasy 658. ""Ain't Nothing Gonna Change Me"" and ""What Is It?"" {R&B}", ,Near Mint
"EVERETT, Eliot, & His Orchestra",ROYALE,Singles: 7-inch,Country,"B-side= ""Whispering."" [Ctry1]","45405 ""The World Is Waiting for the Sunrise"" Red vinyl.",Very Good
"EVERETTE, Leon",ORLANDO,Picture Sleeves,Country,[Ctry1],"103 ""Don't Feel Like The Lone Ranger"" ",Near Mint
"EVERETTE, Leon",ORLANDO,Singles: 7-inch,Country,"Orlando 103. DJ copy. ""Don't Feel Like The Lone Ranger"" [Ctry1]", ,Near Mint
EVERLY BROTHERS,W.B.,Promotional Singles,Rock 'n' Roll,"B-side= ""I'm Not Angry.""","5250 ""Crying In The Rain"" ",Near Mint
EVERLY BROTHERS,CADENCE,Singles: 7-inch,Rock 'n' Roll,"B-side= ""Oh, What A Feeling.""","1369 ""(Til' ",Very Good
EVERLY BROTHERS,LONDON,Singles: 7-inch,Rock 'n' Roll,"Made in England. B-side= ""I Wonder If I Care As Much.""","8440 ""Bye Bye Love"" ",Very Good ++
EVERLY BROTHERS,CADENCE,Singles: 7-inch,Rock 'n' Roll,"B-side= ""Be Bop A-Lula.""","1380 ""When Will I Be  Loved"" ",Very Good
EVERLY BROTHERS,W.B.,EPs: 7-inch,Rock,Record only.,"135 ""Souvenir Sampler"" Don and Phil discussing The Everly Brothers - Both Sides of an Evening. Has an LP discount coupon on sleeve. Promotional issue only.",Very Good
EVERLY BROTHERS,W.B.,Singles: 7-inch,Rock 'n' Roll,"Warner Bros. 5250. ""Crying In The Rain"" and ""I'm Not Angry.""  {Belding Box}",5220 thru 5833 ,Very Good +
EVERLY BROTHERS,W.B.,Picture Sleeves,Rock 'n' Roll,{Belding Box},"5273 ""That's Old   Fashioned"" ",Very Good
EVERLY BROTHERS,CADENCE,EPs: 7-inch,Rock 'n' Roll,"""Brand New Heartache"" and ""Keep A Knockin'"" and ""Rip It Up"" and ""Hey Doll Baby."" With original Cadence sleeve.","107 ""The Everly  Brothers"" ",Very Good ++
